Movie Name,Total Cast,Genre
The Treasure of the Sierra Madre,"('Guillermo Calles', 'Jacqueline Dalya', 'Robert Blake', 'Roberto Cañedo', 'Spencer Chan', 'Alfonso Bedoya', 'Arturo Soto Rangel', 'Barton MacLane', 'Bruce Bennett', 'Humphrey Bogart', 'José Torvay', 'Manuel Dondé', 'Margarito Luna', 'Tim Holt', 'Walter Huston')","['Adventure', 'Drama', 'Western']"
Pan's Labyrinth,"('Álex Angulo', 'César Vea', 'Doug Jones', 'Eusebio Lázaro', 'Francisco Vidal', 'Gonzalo Uriarte', 'Ivan Massagué', 'Juanjo Cucalón', 'Lina Mira', 'Manolo Solo', 'Maribel Verdú', 'Roger Casamajor', 'Ariadna Gil', 'Ivana Baquero', 'Sergi López')","['Drama', 'Mystery', 'Thriller', 'Fantasy', 'War']"
Some Like It Hot,"('Barbara Drew', 'Beverly Wills', 'Dave Barry', 'Harry Wilson', 'Mike Mazurki', 'Billy Gray', 'George E. Stone', 'George Raft', 'Jack Lemmon', 'Joan Shawlee', 'Joe E. Brown', 'Marilyn Monroe', 'Nehemiah Persoff', ""Pat O'Brien"", 'Tony Curtis')","['Comedy', 'Romance']"
North by Northwest,"('Edward Binns', 'Les Tremayne', 'Patrick McVey', 'Philip Coolidge', 'Robert Ellenstein', 'Adam Williams', 'Cary Grant', 'Edward Platt', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis', 'Josephine Hutchinson', 'Leo G. Carroll', 'Martin Landau', 'Philip Ober')","['Action', 'Adventure', 'Mystery', 'Thriller']"
Hoop Dreams,"('Aretha Mitchell', ""Arthur 'Bo' Agee"", 'Bill Gleason', 'Curtis Gates', 'Earl Smith', 'Emma Gates', 'Gene Pingatore', 'Isiah Thomas', 'Luther Bedford', 'Marjorie Heard', 'Marlyn Hopewell', 'Patricia Weir', 'Sheila Agee', 'Arthur Agee', 'William Gates')","['Drama', 'Sport', 'Documentary']"
Rashomon,"('Daisuke Katô', 'Kichijir', 'Leslie Daniels', 'Machiko Kyô', 'Masayuki Mori', 'Minoru Chiaki', 'Noriko Honma', 'Takashi Shimura', 'Toshirô Mifune')","['Drama', 'Mystery', 'Crime']"
All About Eve,"('Barbara White', 'Craig Hill', 'Leland Harris', 'Randy Stuart', 'Walter Hampden', 'Anne Baxter', 'Barbara Bates', 'Bette Davis', 'Celeste Holm', 'Gary Merrill', 'George Sanders', 'Gregory Ratoff', 'Hugh Marlowe', 'Marilyn Monroe', 'Thelma Ritter')",['Drama']
Jules and Jim,"('Anny Nelsen', 'Bernard Largemain', 'Danielle Bassiak', 'Dominique Lacarrière', 'Elen Bober', 'Henri Serre', 'Kate Noelle', 'Marie Dubois', 'Michel Subor', 'Pierre Fabre', 'Sabine Haudepin', 'Serge Rezvani', 'Vanna Urbino', 'Jeanne Moreau', 'Oskar Werner')","['Drama', 'Romance']"
The Wild Bunch,"('Albert Dekker', 'Bo Hopkins', 'Dub Taylor', 'Jorge Russek', 'Paul Harper', 'Ben Johnson', ""Edmond O'Brien"", 'Emilio Fernández', 'Ernest Borgnine', 'Jaime Sanchez', 'L.Q. Jones', 'Robert Ryan', 'Strother Martin', 'Warren Oates', 'William Holden')","['Action', 'Adventure', 'Western']"
My Left Foot,"('Alison Whelan', 'Cyril Cusack', 'Declan Croghan', 'Derry Power', 'Eanna MacLiam', 'Fiona Shaw', ""Hugh O'Conor"", 'Kirsten Sheridan', 'Marie Conmee', 'Pat Laffan', 'Phelim Drew', 'Ray McAnally', 'Ruth McCabe', 'Brenda Fricker', 'Daniel Day-Lewis')","['Biography', 'Drama']"
